id,eps,codigo_cups,descripcion,tarifa
242,EMSSANAR_CAPITA,974301,RETIRO DE SUTURAS DE TORAX ( RETIRO DE PUNTOS ),
243,EMSSANAR_CAPITA,978301,EXTRACCION DE SUTURAS DE PARED ABDOMINAL,
244,EMSSANAR_CAPITA,981101,EXTRACCION SIN INCISION DE CUERPO EXTRANO DE CONDUCTO AUDITIVO EXTERNO,
245,EMSSANAR_CAPITA,981201,EXTRACCION DE CUERPO EXTRANO DE LA NARIZ SIN INCISION VIA TRANSNASAL,
246,EMSSANAR_CAPITA,981701,EXTRACCION SIN INCISION DE CUERPO EXTRANO INTRALUMINAL DE LA VAGINA,
247,EMSSANAR_CAPITA,982101,EXTRACCION DE CUERPO EXTRANO SUPERFICIAL DE LA CONJUNTIVA,
248,EMSSANAR_CAPITA,982201,EXTRACCION SIN INCISION DE CUERPO EXTRANO NO INTRALUMINAL EN CUELLO O CABEZA,
249,EMSSANAR_CAPITA,982501,EXTRACCION SIN INCISION DE CUERPO EXTRANO NO INTRALUMINAL EN OTRO SITIO SALVO EN VULVA - PENE O ESCROTO,
250,EMSSANAR_CAPITA,982601,EXTRACCION SIN INCISION DE CUERPO EXTRANO EN MANO,
251,EMSSANAR_CAPITA,982701,EXTRACCION SIN INCISION DE CUERPO EXTRANO EN BRAZO Y ANTEBRAZO,
252,EMSSANAR_CAPITA,982801,EXTRACCION SIN INCISION DE CUERPO EXTRANO EN PIE,
253,EMSSANAR_CAPITA,982901,EXTRACCION SIN INCISION DE CUERPO EXTRANO EN MIEMBRO INFERIOR SALVO PIE,
254,EMSSANAR_CAPITA,991402,APLICACION INMUNOGLOBULINA ANTIRRABICA,
255,EMSSANAR_CAPITA,991403,APLICACION INMUNOGLOBULINA ANTITETANICA,
256,EMSSANAR_CAPITA,991601,INYECCION DE ANTIDOTO,
257,EMSSANAR_CAPITA,991801,INFUSION O ADMINISTRACION DE SOLUCIONES DE LIQUIDOS Y ELECTROLITOS,
258,EMSSANAR_CAPITA,992102,INYECCION O INFUSION DE ANTIBIOTICO,
